Date;Price
29.11.2019;9304,81
02.12.2019;9169,30
03.12.2019;9051,55
04.12.2019;9186,53
05.12.2019;9159,94
06.12.2019;9228,34
09.12.2019;9209,92
10.12.2019;9182,30
11.12.2019;9212,36
12.12.2019;9267,63
13.12.2019;9362,30
16.12.2019;9518,16
17.12.2019;9538,39
18.12.2019;9500,34
19.12.2019;9520,11
20.12.2019;9565,85
23.12.2019;9595,52
27.12.2019;9646,86
30.12.2019;9589,43
02.01.2020;9681,63
03.01.2020;9643,92
06.01.2020;9571,98
07.01.2020;9583,76
08.01.2020;9634,39
09.01.2020;9664,33
10.01.2020;9614,46
13.01.2020;9624,42
14.01.2020;9641,12
15.01.2020;9609,14
16.01.2020;9617,02
17.01.2020;9695,80
20.01.2020;9747,65
21.01.2020;9708,97
22.01.2020;9720,54
23.01.2020;9618,75
24.01.2020;9741,28
27.01.2020;9493,01
28.01.2020;9565,59
29.01.2020;9640,45
30.01.2020;9535,75
31.01.2020;9475,40
03.02.2020;9510,74
04.02.2020;9676,16
05.02.2020;9734,05
06.02.2020;9772,05
07.02.2020;9706,94
10.02.2020;9729,23
11.02.2020;9850,03
12.02.2020;9876,08
13.02.2020;9803,36
14.02.2020;9778,67
17.02.2020;9816,51
18.02.2020;9731,21
19.02.2020;9826,20
20.02.2020;9788,07
21.02.2020;9716,30
24.02.2020;9320,96
25.02.2020;9173,41
26.02.2020;9086,24
27.02.2020;8761,88
28.02.2020;8464,27
02.03.2020;8441,31
03.03.2020;8612,85
04.03.2020;8653,38
05.03.2020;8473,07
06.03.2020;8130,81
09.03.2020;7549,38
10.03.2020;7488,35
11.03.2020;7365,89
12.03.2020;6475,65
13.03.2020;6519,18
16.03.2020;6121,82
17.03.2020;5958,47
18.03.2020;5496,68
19.03.2020;5682,20
20.03.2020;6052,82
23.03.2020;5775,38
24.03.2020;6204,89
25.03.2020;6428,45
26.03.2020;6698,55
27.03.2020;6429,15
30.03.2020;6333,56
31.03.2020;6454,77
01.04.2020;6202,95
02.04.2020;6196,63
03.04.2020;6143,47
06.04.2020;6408,36
07.04.2020;6604,12
08.04.2020;6666,92
09.04.2020;6807,14
14.04.2020;6858,78
15.04.2020;6589,15
16.04.2020;6605,67
17.04.2020;6822,97
20.04.2020;6819,91
21.04.2020;6612,59
22.04.2020;6710,16
23.04.2020;6781,09
24.04.2020;6682,49
27.04.2020;6783,06
28.04.2020;6892,43
29.04.2020;7151,42
30.04.2020;7017,01
04.05.2020;6789,63
05.05.2020;6986,85
06.05.2020;6939,72
07.05.2020;7125,54
08.05.2020;7188,74
11.05.2020;7139,47
12.05.2020;7072,12
13.05.2020;6935,02
14.05.2020;6812,18
15.05.2020;6879,05
18.05.2020;7161,85
19.05.2020;7189,41
20.05.2020;7273,44
21.05.2020;7248,16
22.05.2020;7279,37
25.05.2020;7447,53
26.05.2020;7594,09
27.05.2020;7587,35
28.05.2020;7688,48
29.05.2020;7536,90
02.06.2020;7851,32
03.06.2020;8101,02
04.06.2020;8167,81
05.06.2020;8431,78
08.06.2020;8440,54
09.06.2020;8232,74
10.06.2020;8167,69
11.06.2020;7800,79
12.06.2020;7797,08
15.06.2020;7794,97
16.06.2020;7982,90
17.06.2020;8004,94
18.06.2020;8004,36
19.06.2020;7996,98
22.06.2020;7910,35
23.06.2020;7969,56
24.06.2020;7735,58
25.06.2020;7831,94
26.06.2020;7749,37
29.06.2020;7820,93
30.06.2020;7842,17
01.07.2020;7900,12
02.07.2020;8081,83
03.07.2020;8066,36
06.07.2020;8230,16
07.07.2020;8169,98
08.07.2020;8111,11
09.07.2020;8011,05
10.07.2020;8086,65
13.07.2020;8188,25
14.07.2020;8126,38
15.07.2020;8246,79
16.07.2020;8202,90
17.07.2020;8164,47
20.07.2020;8188,84
21.07.2020;8293,68
22.07.2020;8291,91
23.07.2020;8269,86
24.07.2020;8100,14
27.07.2020;8058,23
28.07.2020;8107,97
29.07.2020;8088,47
30.07.2020;7929,64
31.07.2020;7893,22
03.08.2020;8049,35
04.08.2020;8073,81
05.08.2020;8203,28
06.08.2020;8195,80
07.08.2020;8270,96
10.08.2020;8322,30
11.08.2020;8481,73
12.08.2020;8521,60
13.08.2020;8463,72
14.08.2020;8363,23
17.08.2020;8400,51
18.08.2020;8342,95
19.08.2020;8386,41
20.08.2020;8309,31
21.08.2020;8309,81
24.08.2020;8457,03
25.08.2020;8429,20
26.08.2020;8502,47
27.08.2020;8478,90
28.08.2020;8445,40
31.08.2020;8385,03
