Date;MIB.Price
10.02.2020;24507,7
11.02.2020;24688,89
12.02.2020;24861,28
13.02.2020;24892,15
14.02.2020;24867,01
17.02.2020;25120,54
18.02.2020;25223,51
19.02.2020;25477,55
20.02.2020;25080,16
21.02.2020;24773,15
24.02.2020;23427,19
25.02.2020;23090,44
26.02.2020;23422,54
27.02.2020;22799,37
28.02.2020;21984,21
02.03.2020;21655,09
03.03.2020;21748,2
04.03.2020;21946,03
05.03.2020;21554,88
06.03.2020;20799,89
09.03.2020;18475,91
10.03.2020;17870,18
11.03.2020;17928,64
12.03.2020;14894,44
13.03.2020;15954,29
16.03.2020;14980,34
17.03.2020;15314,77
18.03.2020;15120,48
19.03.2020;15466,97
20.03.2020;15731,85
23.03.2020;15559,8
24.03.2020;16948,6
25.03.2020;17243,68
26.03.2020;17369,38
27.03.2020;16822,59
30.03.2020;16872,41
31.03.2020;17050,94
01.04.2020;16544,97
02.04.2020;16834,03
03.04.2020;16384,35
06.04.2020;17039,31
07.04.2020;17411,72
08.04.2020;17380,82
09.04.2020;17621,62
14.04.2020;17558,43
15.04.2020;16719,07
16.04.2020;16768,14
17.04.2020;17055,47
