Date;Price
27.02.2020;344,5
28.02.2020;338,41
02.03.2020;348,62
03.03.2020;344,62
04.03.2020;353,63
05.03.2020;346,75
06.03.2020;339,68
09.03.2020;315,82
10.03.2020;324,18
11.03.2020;312,53
12.03.2020;282,87
13.03.2020;297,37
16.03.2020;270,53
17.03.2020;279,74
18.03.2020;265,68
19.03.2020;266,46
20.03.2020;262,18
23.03.2020;253,51
24.03.2020;274,58
25.03.2020;282,05
26.03.2020;294,9
27.03.2020;288,09
30.03.2020;293,51
31.03.2020;291,84
01.04.2020;281,18
02.04.2020;284,52
03.04.2020;280,61
06.04.2020;295,79
07.04.2020;298,81
08.04.2020;304,78
09.04.2020;309,53
10.04.2020;309,76
13.04.2020;307,5
14.04.2020;314,95
15.04.2020;308,20
16.04.2020;308,59
17.04.2020;316,54
20.04.2020;313,28
21.04.2020;303,95
22.04.2020;309,23
23.04.2020;310,25
24.04.2020;311,48
27.04.2020;316,90
28.04.2020;317,39
29.04.2020;324,58
30.04.2020;322,48
01.05.2020;315,54
04.05.2020;313,26
05.05.2020;316,39
06.05.2020;315,05
07.05.2020;317,48
08.05.2020;323,06
11.05.2020;323,05
12.05.2020;319,23
13.05.2020;314,46
14.05.2020;314,14
15.05.2020;315,35
18.05.2020;324,14
19.05.2020;323,72
20.05.2020;328,22
21.05.2020;325,72
22.05.2020;324,34
